,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color,year,DEM_Rate,REP_Rate,Metro_DEM_Votes,Metro_REP_Votes,Metro_DEM_Rate,Metro_REP_Rate,Race,2016,2020,% increase,fact,Arizona,Georgia,South Carolina
732,Georgia,Douglas County,Joe Biden,DEM,42814,TRUE,13097,GA,67726,74114,36.4,141840,52.25183305,33.70184254,-84.76795535,blue,,,,,,,,,,,,,,,
736,Georgia,Early County,Donald Trump,REP,2710,TRUE,13099,GA,4791,5557,40.7,10348,53.7011983,31.32282807,-84.90365602,red,,,,,,,,,,,,,,,
740,Georgia,Echols County,Donald Trump,REP,1256,TRUE,13101,GA,1973,2021,40.9,3994,50.60090135,30.7100504,-82.89396144,red,,,,,,,,,,,,,,,
744,Georgia,Effingham County,Donald Trump,REP,23361,TRUE,13103,GA,29215,29474,36.1,58689,50.22065464,32.36728627,-81.34135178,red,,,,,,,,,,,,,,,
748,Georgia,Elbert County,Donald Trump,REP,6226,TRUE,13105,GA,9188,10024,42.6,19212,52.17572351,34.11679504,-82.84014598,red,,,,,,,,,,,,,,,
752,Georgia,Emanuel County,Donald Trump,REP,6553,TRUE,13107,GA,11105,11394,36.8,22499,50.64225077,32.58973973,-82.30171317,red,,,,,,,,,,,,,,,
756,Georgia,Evans County,Donald Trump,REP,2888,TRUE,13109,GA,5303,5424,37.7,10727,50.56399739,32.15676456,-81.88688163,red,,,,,,,,,,,,,,,
760,Georgia,Fannin County,Donald Trump,REP,12169,TRUE,13111,GA,12086,12839,51.4,24925,51.51053159,34.86408399,-84.31983387,red,,,,,,,,,,,,,,,
764,Georgia,Fayette County,Donald Trump,REP,37956,TRUE,13113,GA,54055,57314,43.5,111369,51.46315402,33.41395332,-84.49418416,red,,,,,,,,,,,,,,,
768,Georgia,Floyd County,Donald Trump,REP,28906,TRUE,13115,GA,46810,50014,38.5,96824,51.65454846,34.26318326,-85.21425983,red,,,,,,,,,,,,,,,
